id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
756,Malcom DaCosta,DaCosta,Bournemouth,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,24,1776,1163,a,,,-0.5,0.5
782,Fraser Forster,Forster,Bournemouth,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,40,2929,1007,a,,,-0.5,0.5
799,Charlie Stevens,Stevens,Bournemouth,Midfielder,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,14,673,267,a,,,-0.5,0.5
801,Alex Tóth,Tóth.A,Bournemouth,Midfielder,4.9,3,0.8,0.0,0.0,71,0,0,0,1,1,0,0,10,6.0,33.5,14.0,5.3,5,16,895,489,a,,,-0.5,0.5
806,Christos Mandas,Mandas,Bournemouth,Goalkeeper,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,16,662,323,a,,,-0.5,0.5
807,Rayan Vitor Simplício Rocha,Rayan,Bournemouth,Midfielder,5.6,30,4.3,2.4,2.8,537,2,1,3,3,1,0,2,105,124.0,123.8,111.0,35.8,801,8944,402203,74955,a,,,2.3,3.3
27,Reiss Nelson,Nelson,Brentford,Midfielder,4.8,7,1.0,0.1,0.2,55,0,0,0,1,0,0,0,18,16.4,4.0,20.0,3.6,7,38,10497,18436,a,100.0,,0.2,0.5
83,Dango Ouattara,O.Dango,Brentford,Midfielder,6.0,105,4.4,3.7,4.5,1697,5,7,4,26,4,0,13,330,380.6,293.5,466.0,113.4,6111,2488,954861,504512,a,100.0,,4.5,5.0
101,Caoimhín Kelleher,Kelleher,Brentford,Goalkeeper,4.8,105,3.6,13.5,2.2,2610,0,0,7,39,1,0,6,410,664.8,23.0,0.0,68.8,22573,4253,1471168,1033935,a,100.0,,2.2,2.7
102,Ellery Balcombe,Balcombe,Brentford,Goalkeeper,3.9,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,150,16490,24385,a,,,0.0,0.5
103,Matthew Cox,Cox,Brentford,Goalkeeper,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,91,11791,14859,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0.0,0.0
104,Julian Eyestone,Eyestone,Brentford,Goalkeeper,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22,97,13079,10568,a,,,0.0,0.5
105,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,Goalkeeper,3.9,1,1.0,0.6,0.2,90,0,0,0,3,0,0,0,1,13.0,0.0,0.0,1.3,58,342,38665,73301,a,,,0.2,0.7
106,Nathan Collins,Collins,Brentford,Defender,4.9,99,3.7,2.9,1.8,2251,1,2,6,34,5,0,7,341,678.2,116.9,258.0,105.5,6727,2861,672890,523908,a,,,1.8,2.3
107,Keane Lewis-Potter,Lewis-Potter,Brentford,Defender,4.8,83,3.0,1.6,1.5,1242,3,2,6,22,1,0,3,229,250.4,191.7,236.0,67.8,2687,1816,467848,320194,a,,,1.5,2.0
108,Kristoffer Ajer,Ajer,Brentford,Defender,4.4,70,2.9,0.3,2.0,1624,0,2,5,27,3,0,1,196,358.2,58.3,161.0,57.9,306,336,42784,34645,a,100.0,,2.0,2.5
109,Rico Henry,Henry,Brentford,Defender,4.3,52,2.1,0.2,1.5,1322,0,2,4,22,2,0,0,144,151.6,82.0,35.0,26.9,6,821,25850,27112,i,0.0,Hamstring injury - Unknown return date,0.0,0.0
110,Michael Kayode,Kayode,Brentford,Defender,4.5,86,3.0,0.9,3.2,2538,1,1,7,39,6,0,7,402,492.0,395.7,94.0,98.4,4577,422,210239,138197,a,100.0,,3.2,3.7
111,Ethan Pinnock,Pinnock,Brentford,Defender,4.2,4,1.3,0.1,0.0,228,0,0,0,5,1,0,0,21,62.8,1.1,12.0,7.6,58,68,12789,27165,a,100.0,,0.0,0.5
112,Mads Roerslev Rasmussen,Roerslev,Brentford,Defender,4.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,211,3931,u,0.0,Has joined Southampton permanently.,0.0,0.0
113,Sepp van den Berg,Van den Berg,Brentford,Defender,4.5,84,3.4,1.5,4.0,2213,0,2,5,36,1,0,3,312,508.4,68.4,252.0,83.0,6655,955,329999,209520,a,100.0,,4.0,4.5
114,Benjamin Arthur,Arthur,Brentford,Defender,3.8,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,80,12981,30610,u,0.0,has joined Celtic on loan for the rest of the season.,0.0,0.0
115,Benjamin Fredrick,Fredrick,Brentford,Defender,4.0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,2020,14406,u,0.0,has joined Dender on loan for the rest of the season.,0.0,0.0
116,Aaron Hickey,Hickey,Brentford,Defender,4.0,33,1.8,0.4,0.2,588,0,0,2,8,1,0,0,94,82.6,16.2,42.0,13.9,13,622,65929,79180,i,0.0,Hamstring injury - Expected back 11 Apr,0.0,0.0
117,Kim Ji-soo,Ji-soo,Brentford,Defender,3.9,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,13,4108,15673,u,0.0,has joined Kaiserslautern on loan for the rest of the season.,0.0,0.0
